participant_id,age,gender,testing_mode,tested_sequence,tested_ondemand,tested_both,tech_item_1,tech_item_2,tech_item_3,tech_item_4,tech_item_5,tech_item_6,tech_item_7,tech_self_assess_mean,tech_dof_correct,tech_composite,godspeed_relaxed,godspeed_calm,godspeed_bold,godspeed_safe,godspeed_safety_mean,safety_speed,safety_comfort,safety_awareness,safety_predictable,safety_perception_mean,seq_attention,seq_timing,seq_trust,seq_safety,ond_attention,ond_understanding,ond_control,ond_timing,ond_exhaustion,efficiency_pref,daily_pref,sus_raw_1,sus_raw_2,sus_raw_3,sus_raw_4,sus_raw_5,sus_raw_6,sus_raw_7,sus_raw_8,sus_raw_9,sus_score_1,sus_score_2,sus_score_3,sus_score_4,sus_score_5,sus_score_6,sus_score_7,sus_score_8,sus_score_9,sus_sum,sus_total,learnability,pref_category,prefers_ondemand,prefers_sequence
0,29.0,female,Sequence Mode,True,False,False,2.0,3.0,4.0,3.0,3.0,1.0,4.0,2.857142857142857,1,3.5,4.0,3.0,3.0,5.0,3.75,4.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,,,,,,nan,nan,4.0,1.0,4.0,2.0,4.0,2.0,4.0,2.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,29.0,80.55555555555556,87.5,Other,0,0
1,24.0,female,"First On Demand Mode, then Sequence Mode",True,True,True,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.4285714285714286,1,2.5,4.0,4.0,3.0,3.0,3.5,4.0,4.0,3.0,4.0,3.75,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,2.0,on-demand mode,on-demand (voice commands for each step),3.0,3.0,4.0,4.0,4.0,1.0,5.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,4.0,4.0,3.0,3.0,25.0,69.44444444444444,87.5,On-demand,1,0
2,26.0,female,"First Sequence Mode, then On Demand Mode",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.25,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,1.0,sequence mode,sequence (one command for the whole process),4.0,2.0,5.0,1.0,5.0,1.0,5.0,1.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,34.0,94.44444444444444,100.0,Sequence,0,1
3,24.0,male,"First On Demand Mode, then Sequence Mode",True,True,True,4.0,2.0,3.0,5.0,2.0,1.0,3.0,2.857142857142857,1,3.5,2.0,3.0,2.0,5.0,3.0,5.0,5.0,1.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,5.0,3.0,4.0,sequence mode,nan,3.0,3.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0,16.0,44.44444444444444,62.5,Other,0,0
4,21.0,female,"First On Demand Mode, then Sequence Mode",True,True,True,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.5714285714285714,0,1.0999999999999999,4.0,3.0,3.0,4.0,3.5,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,no difference,on-demand (voice commands for each step),5.0,1.0,5.0,5.0,5.0,1.0,5.0,1.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,31.0,86.11111111111111,87.5,On-demand,1,0
5,28.0,male,"First Sequence Mode, then On Demand Mode",True,True,True,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1,5.0,1.0,1.0,1.0,5.0,2.0,5.0,5.0,3.0,5.0,4.5,4.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,2.0,on-demand mode,on-demand (voice commands for each step),4.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,29.0,80.55555555555556,87.5,On-demand,1,0
6,23.0,male,"First On Demand Mode, then Sequence Mode",True,True,True,5.0,5.0,5.0,5.0,4.5,5.0,5.0,4.928571428571429,0,3.45,5.0,5.0,3.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,2.0,sequence mode,on-demand (voice commands for each step),2.0,1.0,4.0,4.0,5.0,1.0,4.0,1.0,5.0,1.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,28.0,77.77777777777777,87.5,On-demand,1,0
7,23.0,male,"First Sequence Mode, then On Demand Mode",True,True,True,4.0,2.0,4.0,4.0,1.0,1.0,3.0,2.7142857142857144,1,3.4,4.0,4.0,2.0,5.0,3.75,5.0,4.0,2.0,4.0,3.75,2.0,4.0,2.0,5.0,2.0,2.0,5.0,4.0,2.0,sequence mode,on-demand (voice commands for each step),1.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,4.0,0.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,24.0,66.66666666666666,75.0,On-demand,1,0
8,25.0,male,"First Sequence Mode, then On Demand Mode",True,True,True,3.0,4.0,4.0,3.0,5.0,2.0,2.0,3.2857142857142856,1,3.8,3.0,4.0,1.0,5.0,3.25,5.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,1.0,on-demand mode,on-demand (voice commands for each step),1.0,1.0,4.0,1.0,4.0,2.0,5.0,3.0,4.0,0.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,26.0,72.22222222222221,87.5,On-demand,1,0
9,23.0,male,"First On Demand Mode, then Sequence Mode",True,True,True,4.0,4.0,5.0,5.0,1.0,1.0,2.0,3.142857142857143,1,3.6999999999999997,5.0,5.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,4.75,1.0,4.0,3.0,3.0,1.0,4.0,5.0,4.0,4.0,on-demand mode,on-demand (voice commands for each step),4.0,2.0,4.0,3.0,4.0,2.0,4.0,1.0,5.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,28.0,77.77777777777777,87.5,On-demand,1,0
