participant_id,testing_mode,condition,tested_both,focus_seq,focus_ond,predictability,self_assess_mean,dof_correct,tech_composite,learnability
0,Sequence Mode,Seq_only,False,3.0,,4.0,3.2857142857142856,1,3.9714285714285715,81.25
1,"First On Demand Mode, then Sequence Mode",OnD_then_Seq,True,4.0,3.0,4.0,1.5714285714285714,1,2.942857142857143,68.75
2,"First Sequence Mode, then On Demand Mode",Seq_then_OnD,True,5.0,5.0,4.0,5.0,1,5.0,100.0
3,"First On Demand Mode, then Sequence Mode",OnD_then_Seq,True,4.0,3.0,5.0,2.7142857142857144,1,3.6285714285714286,50.0
4,"First On Demand Mode, then Sequence Mode",OnD_then_Seq,True,4.0,5.0,5.0,2.0,0,1.2,68.75
5,"First Sequence Mode, then On Demand Mode",Seq_then_OnD,True,4.0,4.0,5.0,5.0,1,5.0,81.25
6,"First On Demand Mode, then Sequence Mode",OnD_then_Seq,True,5.0,5.0,5.0,4.928571428571429,0,2.9571428571428573,68.75
7,"First Sequence Mode, then On Demand Mode",Seq_then_OnD,True,2.0,2.0,4.0,2.857142857142857,1,3.7142857142857144,75.0
8,"First Sequence Mode, then On Demand Mode",Seq_then_OnD,True,4.0,4.0,4.0,3.4285714285714284,1,4.057142857142857,87.5
9,"First On Demand Mode, then Sequence Mode",OnD_then_Seq,True,1.0,1.0,5.0,3.2857142857142856,1,3.9714285714285715,75.0
10,"First On Demand Mode, then Sequence Mode",OnD_then_Seq,True,4.0,4.0,4.0,2.2857142857142856,1,3.371428571428571,100.0
11,"First Sequence Mode, then On Demand Mode",Seq_then_OnD,True,4.0,1.0,3.0,1.4285714285714286,1,2.857142857142857,81.25
12,"First Sequence Mode, then On Demand Mode",Seq_then_OnD,True,4.0,2.0,5.0,1.7142857142857142,0,1.0285714285714285,68.75
13,"First On Demand Mode, then Sequence Mode",OnD_then_Seq,True,5.0,1.0,5.0,2.7142857142857144,1,3.6285714285714286,75.0
14,"First Sequence Mode, then On Demand Mode",Seq_then_OnD,True,5.0,3.0,5.0,4.714285714285714,1,4.828571428571429,100.0
15,"First On Demand Mode, then Sequence Mode",OnD_then_Seq,True,4.0,2.0,5.0,1.7142857142857142,1,3.0285714285714285,87.5
16,Sequence Mode,Seq_only,False,5.0,,5.0,1.2857142857142858,1,2.7714285714285714,75.0
17,"First On Demand Mode, then Sequence Mode",OnD_then_Seq,True,5.0,4.0,5.0,4.857142857142857,1,4.914285714285715,100.0
18,"First Sequence Mode, then On Demand Mode",Seq_then_OnD,True,4.0,2.0,5.0,3.5714285714285716,1,4.142857142857142,81.25
19,"First On Demand Mode, then Sequence Mode",OnD_then_Seq,True,4.0,5.0,5.0,3.5714285714285716,1,4.142857142857142,100.0
20,Sequence Mode,Seq_only,False,4.0,,5.0,4.571428571428571,1,4.742857142857142,87.5
21,Sequence Mode,Seq_only,False,4.0,,4.0,3.5714285714285716,1,4.142857142857142,75.0
22,"First Sequence Mode, then On Demand Mode",Seq_then_OnD,True,4.0,2.0,4.0,3.7142857142857144,1,4.228571428571429,75.0
23,"First On Demand Mode, then Sequence Mode",OnD_then_Seq,True,4.0,4.0,4.0,2.4285714285714284,1,3.4571428571428573,50.0
24,On Demand Mode,OnD_only,False,,5.0,5.0,3.5714285714285716,1,4.142857142857142,87.5
